label,message
safe,Hey are we still meeting at 6 tonight?
safe,Can you send me the project notes when free?
safe,Your delivery is scheduled for tomorrow afternoon.
safe,Thanks for the update. I will review it later.
safe,Please call me when you arrive.
spam,Congratulations you have won a free prize claim now
spam,Limited time offer click here for free rewards
spam,You have been selected for a special promotion
spam,Win cash instantly by replying YES now
spam,Free entry in weekly competition text WIN
scam,Urgent verify your bank account password immediately
scam,Your wallet has been locked send your recovery phrase
scam,Claim your lottery prize by paying a small fee
scam,This is support send the OTP code to continue
scam,Transfer money now to avoid account suspension
